CID,Gender,Limit,AverageTransactionValue,MDP,Unpaid Daily Principle ,Unpaid Interest ,TotalDuetoReset,DayDelay,Card Status,Risk Class
14000661,Man,500,18.07,75,481.21,17.97,547.3,0,Active,LowRisk
14000651,Man,500,24.14,75,497.7,18.26,563.73,0,Active,LowRisk
14000633,Man,300,35.08,45,241.93,8.99,275.11,0,Active,LowRisk
14000631,Man,600,18.29,90,593.96,12.09,606.05,0,Active,LowRisk
14000620,Man,600,36.39,90,161.1,5.26,177.56,0,Active,LowRisk
14000617,Woman,500,19.33,75,497.87,12.15,510.02,0,Active,LowRisk
14000607,Man,600,6.26,90,595.1,21.71,674.01,0,Active,LowRisk
14000603,Woman,700,34.71,105,485.65,15.16,500.81,0,Active,LowRisk
14000598,Man,300,32.78,45,299.57,91.46,391.03,0,Blocked by The company,LowRisk
14000595,Man,800,18.36,120,777.41,28.29,878.14,0,Blocked by Customer,LowRisk
14000584,Man,600,30.28,90,169.56,4.14,173.7,0,Active,LowRisk
14000568,Man,300,19.26,45,296.11,3.68,299.79,0,Active,LowRisk
14000566,Man,600,21.4,90,524.91,19.51,596.48,0,Active,LowRisk
14000558,Man,600,35.34,90,599.62,15.94,615.56,0,Active,LowRisk
14000554,Man,300,32.18,45,224.02,8.36,254.78,0,Active,LowRisk
14000549,Man,500,18.42,75,471.8,17.502,536.05,0,Active,LowRisk
14000539,Woman,800,41.49,120,797.6,29.6,904.23,0,Active,LowRisk
14000531,Man,500,32.83,75,491.13,17.55,546.5,0,Active,LowRisk
14000527,Woman,800,20.84,120,444.96,16.45,505.91,0,Active,LowRisk
14000525,Man,500,17.2,75,513.97,37.63,561.34,0,Active,LowRisk
14000512,Man,600,41.44,90,599.82,20.88,620.7,0,Active,LowRisk
14000510,Woman,400,230.37,60,397,14.06,445.52,0,Active,LowRisk
14000504,Man,300,17.73,45,101.65,3.73,115.55,0,Blocked by Customer,LowRisk
14000500,Man,400,22.03,60,374.88,1.8,376.68,0,Active,LowRisk
14000491,Man,800,74.83,120,293.04,9.24,302.28,0,Active,LowRisk
14000487,Man,600,33.58,90,594.03,21.39,615.42,0,Active,LowRisk
14000471,Woman,900,32.71,135,897.86,32.31,1014.69,0,Active,LowRisk
14000464,Woman,700,15.08,105,660.63,24.48,750.71,0,Active,LowRisk
14000459,Man,500,44.24,75,475.41,16.07,531.42,0,Active,LowRisk
14000458,Man,700,25.04,105,665.44,24.7857,756.77,0,Active,LowRisk
14000448,Man,500,55.15,45,499.18,237.06,850.08,0,Active,LowRisk
14000447,Man,900,33.32,135,627.89,20.25,690.96,0,Active,LowRisk
14000446,Man,800,27.09,120,796.34,28.83,901.99,0,Active,LowRisk
14000440,Woman,600,106.92,90,597.03,20.16,617.19,0,Active,LowRisk
14000438,Woman,500,64.14,75,493.75,18.3,561.43,0,Active,LowRisk
14000428,Man,500,16.44,75,493.88,18.13,557.88,0,Active,LowRisk
14000419,Man,500,14.88,23.63,22.99,0.64,23.63,0,Active,LowRisk
14000418,Man,600,15.76,90,441.83,16.43,502.44,0,Active,LowRisk
14000411,Man,300,30.1,45,288.33,9.29,321.76,0,Active,LowRisk
14000393,Man,600,38.13,90,528.55,19.55,600.96,0,Active,LowRisk
14000392,Woman,500,32.54,45,478.59,110.39,636.84,0,Active,LowRisk
14000366,Woman,300,29.54,45,294.87,21.62,339.29,0,Active,LowRisk
14000334,Man,300,109.92,45,228.97,1.71,230.68,0,Active,LowRisk
